Nome,Versão,Nota,Posição Primaria,Posição Secundaria,Valor,Variação de Preço P+ou-,Liga,País,Clube,Skills,Perna Ruim,Tendencia ATK/DEF,Ritmo,Chute,Passe,Drible,Defesa,Fisico
Erling Haaland,TOTY,97,ST,CF,5450000,2.66%,Premier League,Norway,Manchester City,4,5,H \ M,96,98,80,91,56,97
Kylian Mbappé,TOTY,97,ST,"CF,LW",15000000,,Ligue 1 Uber Eats,France,Paris SG,5,4,H \ L,99,96,88,97,47,88
Caroline Graham Hansen,TOTY,97,RW,RM,6890000,0.99%,Liga F,Norway,FC Barcelona,5,4,H \ M,96,93,95,97,56,85
Lionel Messi,TOTY,97,CF,"CAM,RW,ST",9080000,,MLS,Argentina,Inter Miami CF,5,4,M \ L,91,96,97,98,40,77
Aitana Bonmatí Conca,TOTY,97,CM,CAM,3810000,25.24%,Liga F,Spain,FC Barcelona,4,5,H \ H,90,91,91,98,83,81
Pelé,Winter Wildcard ICON,96,ST,"CAM,CF",3960000,0.25%,Icons,Brazil,EA FC ICONS,5,4,H \ M,94,95,90,95,59,80
Sam Kerr,TOTY,96,ST,CF,1300000,6.07%,Barclays WSL,Australia,Chelsea,4,5,H \ H,92,94,84,96,48,92
Kevin De Bruyne,TOTY,96,CM,CAM,2840000,20.63%,Premier League,Belgium,Manchester City,4,5,H \ M,85,93,98,92,80,84
Alexia Putellas Segura,TOTY,96,CM,LW,0,,Liga F,Spain,FC Barcelona,5,5,H \ M,90,95,96,97,80,86
Jude Bellingham,TOTY,96,CM,"CDM,CAM",5370000,18.02%,LALIGA EA SPORTS,England,Real Madrid,4,4,H \ H,90,88,90,96,90,91
Pelé,Icon,95,CAM,"CF,ST",2730000,0.04%,Icons,Brazil,EA FC ICONS,5,4,H \ M,93,94,91,94,58,74
Johan Cruyff,Thunderstruck Icon,95,CF,ST,4300000,5.60%,Icons,Holland,EA FC ICONS,5,5,H \ L,92,93,92,95,46,77
Zinedine Zidane,Dynasties ICON,95,CAM,CM,2180000,3.54%,Icons,France,EA FC ICONS,5,5,M \ M,84,91,95,95,76,85
Sophia Smith,TOTY,95,ST,"CF,RW",1660000,2.65%,NWSL,United States,Portland Timbers-Thorns,4,5,H \ M,97,92,88,95,52,90
Ronaldo,TOTY Icon,95,ST,CF,11800000,3.92%,Icons,Brazil,EA FC ICONS,5,5,H \ M,95,95,81,95,44,77
Rodri,TOTY,95,CDM,CM,2500000,10.71%,Premier League,Spain,Manchester City,4,4,M \ H,88,84,88,90,95,93
Lena Oberdorf,TOTY,95,CDM,"CB,CM",672000,20.47%,GPFBL,Germany,VfL Wolfsburg,4,4,M \ H,84,72,87,86,92,95
Zinedine Zidane,Icon,94,CAM,CM,1380000,2.48%,Icons,France,EA FC ICONS,5,5,M \ M,83,90,94,94,73,84
Ronaldo,Icon,94,ST,CF,6000000,3.97%,Icons,Brazil,EA FC ICONS,5,5,M \ M,94,94,79,94,43,75
Erling Haaland,Champions League,94,ST,CF,910000,1.73%,Premier League,Norway,Manchester City,4,3,H \ M,93,96,71,86,48,92
Robert Lewandowski,Champions League,94,ST,CF,342000,,LALIGA EA SPORTS,Poland,FC Barcelona,4,4,H \ M,83,95,85,92,49,88
Ronaldinho,Thunderstruck Icon,94,LW,"LM,CAM",6090000,,Icons,Brazil,EA FC ICONS,5,4,H \ L,92,90,92,96,39,82
Ferenc Puskás,Thunderstruck Icon,94,CF,ST,1780000,,Icons,Hungary,EA FC ICONS,4,3,H \ M,92,96,92,93,47,78
Müller,Thunderstruck Icon,94,ST,CF,853000,,Icons,Germany,EA FC ICONS,4,4,H \ M,89,95,78,87,47,77
Erling Haaland,Dynasties,94,ST,CF,1380000,,Premier League,Norway,Manchester City,4,3,H \ M,93,96,72,86,53,94
Ronaldinho,Icon,93,LW,"LM,CAM",3500000,1.30%,Icons,Brazil,EA FC ICONS,5,4,H \ L,91,89,90,95,38,80
Hamm,Icon,93,ST,"CAM,CF,RW",2900000,,Icons,United States,EA FC ICONS,5,5,H \ M,92,93,86,92,54,81
Johan Cruyff,Icon,93,CF,ST,2170000,1.05%,Icons,Holland,EA FC ICONS,5,5,H \ L,90,91,90,93,42,73
Luka Modric,Champions League,93,CM,,305000,,LALIGA EA SPORTS,Croatia,Real Madrid,4,4,M \ M,82,84,94,93,83,75
Thierry Henry,Thunderstruck Icon,93,ST,"CF,LW",2080000,0.43%,Icons,France,EA FC ICONS,4,4,M \ M,95,92,85,91,54,82
Paolo Maldini,Dynasties ICON,93,CB,LB,2000000,6.99%,Icons,Italy,EA FC ICONS,2,4,M \ H,87,56,76,70,96,84
Harry Kane,UCL TOTGS,93,ST,CF,148750,6.99%,Bundesliga,England,FC Bayern München,3,5,H \ H,80,96,88,88,52,87
Kylian Mbappé,UCL TOTGS,93,LW,"CF,ST",4310000,3.69%,Ligue 1 Uber Eats,France,Paris SG,5,4,H \ L,98,92,84,94,40,81
Kylian Mbappé,Ligue 1 POTM SBC,93,ST,"CF,LW",4450000,3.69%,Ligue 1 Uber Eats,France,Paris SG,5,4,H \ L,98,92,83,94,39,80
Lev Yashin,Winter Wildcard ICON,93,CB,,1040000,,Icons,Russia,EA FC ICONS,2,3,M \ H,85,60,71,76,88,91
Mané Garrincha,Winter Wildcard ICON,93,RW,RM,1230000,,Icons,Brazil,EA FC ICONS,5,4,H \ L,90,86,93,96,41,68
Neymar Jr,Versus Ice,93,LW,LM,2820000,,ROSHN Saudi League,Brazil,Al Hilal,5,5,H \ M,91,87,90,97,41,66
Neymar Jr,Versus Fire,93,ST,CF,3260000,,ROSHN Saudi League,Brazil,Al Hilal,5,5,H \ M,89,90,89,96,41,68
Bruno Fernandes,Flashback SBC,93,CAM,CM,861450,,Premier League,Portugal,Manchester Utd,4,4,H \ H,82,92,94,88,80,82
George Best,TOTY Icon SBC,93,RW,"RM,CAM,LW",1900000,,Icons,Northern Ireland,EA FC ICONS,5,4,H \ M,93,91,86,94,61,73
Petr Cech,TOTY Icon,93,GK,,350000,1.41%,Icons,Czech Republic,EA FC ICONS,2,3,M \ M,91,90,83,93,62,94
Patrick Vieira,TOTY Icon,93,CM,CDM,5150000,2.26%,Icons,France,EA FC ICONS,4,4,M \ H,87,84,86,88,92,94
Lev Yashin,Icon,92,GK,,355000,,Icons,Russia,EA FC ICONS,1,3,M \ M,93,89,75,94,60,93
Ferenc Puskás,Icon,92,CF,ST,751000,3.96%,Icons,Hungary,EA FC ICONS,4,3,H \ M,90,94,89,91,45,74
Mané Garrincha,Icon,92,RW,RM,698000,,Icons,Brazil,EA FC ICONS,5,4,M \ L,89,85,92,94,40,66
Paolo Maldini,Icon,92,CB,LB,1000000,,Icons,Italy,EA FC ICONS,2,4,M \ H,85,55,74,69,95,82
Müller,Icon,92,ST,CF,255000,5.20%,Icons,Germany,EA FC ICONS,4,4,H \ M,87,92,76,85,44,74
Charlton,Icon,92,CAM,CF,1100000,,Icons,England,EA FC ICONS,4,5,H \ M,90,91,87,91,50,74
Prinz,Icon,92,ST,CF,103000,6.36%,Icons,Germany,EA FC ICONS,3,4,H \ M,83,92,80,82,52,88
Victor Osimhen,Champions League,92,ST,CF,140000,1.41%,Serie A TIM,Nigeria,Napoli FC,3,4,H \ M,94,91,74,88,46,87
Kylian Mbappé,Trailblazers,92,ST,"CF,LW",2740000,0.73%,Ligue 1 Uber Eats,France,Paris SG,5,4,H \ L,98,91,81,93,37,79
Harry Kane,Trailblazers,92,ST,CF,181000,,Bundesliga,England,FC Bayern München,3,5,H \ H,78,95,87,86,51,85
Andrea Pirlo,Squad Found. C.L. SB,92,CM,CDM,591050,,Icons,Italy,EA FC ICONS,5,4,M \ M,80,83,95,91,71,70
Harry Kane,SIF,92,ST,CF,129000,7.86%,Bundesliga,England,FC Bayern München,3,5,H \ H,72,95,87,86,51,86
Erling Haaland,IF,92,ST,CF,315000,3.96%,Premier League,Norway,Manchester City,3,3,H \ M,90,94,68,82,46,89
